id,sku,upc,ean,jan,isbn,mpn,image,brand_id,supplier_id,price,cost,stock,sold,minimum,weight_class,weight,length_class,length,width,height,kind,property,tax_id,status,sort,view,alias,category_store_id,store_id,date_lastview,date_available,created_at,updated_at,namebn,keysbn,nameen,keysen
406, 'MTBD105222', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Oxygen-Moisture-Conditioner-355ml.jpg', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 355, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-oxygen-moisture-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ অক্সিজেন ময়েশ্চার কন্ডিশনার,"['ডোভ', 'অক্সিজেন', 'ময়েশ্চার', 'কন্ডিশনার']",Dove Oxygen Moisture Conditioner,"['Dove', 'Oxygen', 'Moisture', 'Conditioner']"
407, 'MTBD105223', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Color-Protect-Conditioner-355ml.webp', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 355, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-color-protect-conditioner-', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ কালার প্রোটেক্ট কন্ডিশনার,"['ডোভ', 'কালার', 'প্রোটেক্ট', 'কন্ডিশনার']",Dove Color Protect Conditioner ,"['Dove', 'Color', 'Protect', 'Conditioner', '']"
408, 'MTBD105224', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Purify&Strengthen-Conditioner-603ml.jpg', 0, 0, 1250.00, 0.00, 10, 0, 0, 'ml', 603, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-purify-&-strengthen-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ পিউরিফাই অ্যান্ড স্ট্রেন্থ কন্ডিশনার ,"['ডোভ', 'পিউরিফাই', 'অ্যান্ড', 'স্ট্রেন্থ', 'কন্ডিশনার', '']",Dove Purify & Strengthen Conditioner,"['Dove', 'Purify', '&', 'Strengthen', 'Conditioner']"
409, 'MTBD105225', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Anti-Frizz-Oil-therapy-Conditioner-603ml.jpg', 0, 0, 1250.00, 0.00, 10, 0, 0, 'ml', 603, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-anti-frizz-oil-therapy-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ অ্যান্টি-ফ্রিজ অয়েল থেরাপি কন্ডিশনার,"['ডোভ', 'অ্যান্টি-ফ্রিজ', 'অয়েল', 'থেরাপি', 'কন্ডিশনার']",Dove Anti-Frizz Oil therapy Conditioner,"['Dove', 'Anti-Frizz', 'Oil', 'therapy', 'Conditioner']"
410, 'MTBD105226', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Anti-Frizz-Oil-therapy-Conditioner-355ml.jpeg', 0, 0, 695.00, 0.00, 10, 0, 0, 'ml', 355, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-anti-frizz-oil-therapy-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ অ্যান্টি-ফ্রিজ অয়েল থেরাপি কন্ডিশনার,"['ডোভ', 'অ্যান্টি-ফ্রিজ', 'অয়েল', 'থেরাপি', 'কন্ডিশনার']",Dove Anti-Frizz Oil therapy Conditioner,"['Dove', 'Anti-Frizz', 'Oil', 'therapy', 'Conditioner']"
411, 'MTBD105227', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Hairfall-rescue-Conditioner-180ml.png', 0, 0, 270.00, 0.00, 10, 0, 0, 'ml', 180, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-hairfall-rescue-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ হেয়ারফল রেসকিউ কন্ডিশনার,"['ডোভ', 'হেয়ারফল', 'রেসকিউ', 'কন্ডিশনার']",Dove Hairfall rescue Conditioner,"['Dove', 'Hairfall', 'rescue', 'Conditioner']"
412, 'MTBD105228', NULL, NULL, NULL, NULL, NULL, '/data/product/Dove-Oxygen-Moisture-Conditioner-180ml.webp', 0, 0, 290.00, 0.00, 10, 0, 0, 'ml', 180, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'dove-oxygen-moisture-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",ডোভ অক্সিজেন ময়েশ্চার কন্ডিশনার,"['ডোভ', 'অক্সিজেন', 'ময়েশ্চার', 'কন্ডিশনার']",Dove Oxygen Moisture Conditioner,"['Dove', 'Oxygen', 'Moisture', 'Conditioner']"
413, 'MTBD105229', NULL, NULL, NULL, NULL, NULL, '/data/product/PANTENE-Repair&Protection-Conditioner-Pump-1.13ltr.jpeg', 0, 0, 2890.00, 0.00, 10, 0, 0, 'ltr', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'pantene-repair-&-protection-conditioner-pump', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",প্যানটেন রিপেয়ার অ্যান্ড প্রটেকশন কন্ডিশনার পাম্প,"['প্যানটেন', 'রিপেয়ার', 'অ্যান্ড', 'প্রটেকশন', 'কন্ডিশনার', 'পাম্প']",PANTENE Repair & Protection Conditioner Pump,"['PANTENE', 'Repair', '&', 'Protection', 'Conditioner', 'Pump']"
414, 'MTBD105230', NULL, NULL, NULL, NULL, NULL, '/data/product/PANTENE-Coconut-Milk&Avocado-Conditioner-1.13ltr.jpg', 0, 0, 2150.00, 0.00, 10, 0, 0, 'ltr', 1, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'pantene-coconut-milk-&-avocado-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",প্যানটেন কোকোনাট মিল্ক অ্যান্ড অ্যাভোকাডো কন্ডিশনার,"['প্যানটেন', 'কোকোনাট', 'মিল্ক', 'অ্যান্ড', 'অ্যাভোকাডো', 'কন্ডিশনার']",PANTENE Coconut Milk & Avocado Conditioner,"['PANTENE', 'Coconut', 'Milk', '&', 'Avocado', 'Conditioner']"
415, 'MTBD105232', NULL, NULL, NULL, NULL, NULL, '/data/product/PANTENE-Silky-Smooth-Conditioner-Tube-200ml .jpg', 0, 0, 350.00, 0.00, 10, 0, 0, 'ml', 200, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'pantene-silky-smooth-conditioner-tube-', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",প্যানটেন সিল্কি স্মুথ কন্ডিশনার টিউব,"['প্যানটেন', 'সিল্কি', 'স্মুথ', 'কন্ডিশনার', 'টিউব']",PANTENE Silky Smooth Conditioner Tube ,"['PANTENE', 'Silky', 'Smooth', 'Conditioner', 'Tube', '']"
416, 'MTBD105233', NULL, NULL, NULL, NULL, NULL, '/data/product/Loreal-Colour-Protecting-Conditioner-400ml.webp', 0, 0, 950.00, 0.00, 10, 0, 0, 'ml', 400, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'loreal-colour-protecting-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",লোরিয়াল কালার প্রোটেক্টিং কন্ডিশনার,"['লোরিয়াল', 'কালার', 'প্রোটেক্টিং', 'কন্ডিশনার']",Loreal Colour Protecting Conditioner,"['Loreal', 'Colour', 'Protecting', 'Conditioner']"
417, 'MTBD105234', NULL, NULL, NULL, NULL, NULL, '/data/product/Loreal-Botanicals-Camelina-Conditioning-Balm-Tube-200mlÂ .jpg', 0, 0, 1290.00, 0.00, 10, 0, 0, 'ml', 200, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'loreal-botanicals-camelina-conditioning-balm-tube', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",লোরিয়াল বোটানিকাল ক্যামেলিনা কন্ডিশনিং বাম টিউব,"['লোরিয়াল', 'বোটানিকাল', 'ক্যামেলিনা', 'কন্ডিশনিং', 'বাম', 'টিউব']",Loreal Botanicals Camelina Conditioning Balm Tube ,"['Loreal', 'Botanicals', 'Camelina', 'Conditioning', 'Balm', 'Tube\xa0']"
418, 'MTBD105235', NULL, NULL, NULL, NULL, NULL, '/data/product/Loreal-Paris-Elseve-Total-Repair-5 Ek.-Conditioner-200ml .webp', 0, 0, 1170.00, 0.00, 10, 0, 0, 'ml', 200, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'loreal-paris-elseve-total-repair-5-ek.-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",লোরিয়াল প্যারিস এলসেভ মোট মেরামত 5 এক. কন্ডিশনার,"['লোরিয়াল', 'প্যারিস', 'এলসেভ', 'মোট', 'মেরামত', '5', 'এক.', 'কন্ডিশনার']",Loreal Paris Elseve Total Repair 5 Ek. Conditioner ,"['Loreal', 'Paris', 'Elseve', 'Total', 'Repair', '5', 'Ek.', 'Conditioner\xa0']"
419, 'MTBD105236', NULL, NULL, NULL, NULL, NULL, '/data/product/Loreal-Paris-Elseve-Arginine-Resist-X3-Conditioner-200ml .png', 0, 0, 1170.00, 0.00, 10, 0, 0, 'ml', 200, '', 0, 0, 0, 0, 'physical', '1', 1, 0, 0, 'loreal-paris-elseve-arginine-resist-x3-conditioner', 0, 1, '2022-04-27 08:33:34', '2022-04-27', '2022-04-27 08:33:34'," '2022-04-27 08:33:34",লোরিয়াল প্যারিস এলসেভ আরগিনিনে এক্স৩ কন্ডিশনার,"['লোরিয়াল', 'প্যারিস', 'এলসেভ', 'আরগিনিনে', 'এক্স৩', 'কন্ডিশনার']",Loreal Paris Elseve Arginine Resist X3 Conditioner,"['Loreal', 'Paris', 'Elseve', 'Arginine', 'Resist', 'X3', 'Conditioner']"
